Crash Severity,CU Roadway Condition,CU Traffic Control,CU Traffic Control Functioning,CU Trafficway Lanes,CU Vehicle Maneuvers,CU Vision Obscured,CU Workzone Related,Causal Unit (CU) Type,E CU Driver Drug Test Results,CU Turn Lanes,Distracted Driving Opinion,Manner of Crash,Functional Class,Highway Classifications,Intersection Related,Lighting Conditions,V2 Vision Obscured By,CU_Speed_Limit,Driver_Age
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,SUV,No Test Given,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,65+
No_Injury,Wet,Traffic Signals,Yes,Two Lanes,Left,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
No_Injury,Wet,Traffic Signals,Yes,Four Lanes,Left,Not Obscured,Workzone Related,Other_Mini-van/Cargo Van,Not Applicable,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Twilight,Not Obscured,0–30 MPH,45–64
Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Angled Impact,Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,0–30 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Other_Right Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,31–45 MPH,45–64
No_Injury,Wet,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Twilight,Not Obscured,31–45 MPH,25–34
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Side Impact (90 degrees),Minor Arterial,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,18–24
No_Injury,Wet,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Workzone Related,SUV,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,18–24
No_Injury,Wet,Traffic Signals,Yes,Two Lanes,Left,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"No, Crash Was Not Intersection Related",Darkness,Not Obscured,31–45 MPH,45–64
No_Injury,Wet,Traffic Signals,Yes,Two Lanes,Left,Not Obscured,Not in Workzone,SUV,No Test Given,Left Turn Lane(s) Only,Not Distracted,Angled Impact,Principal Arterial - Other,State,"No, Crash Was Not Intersection Related",Darkness,Not Obscured,31–45 MPH,18–24
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,SUV,Not Applicable,Left Turn Lane(s) Only,Not Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,31–45 MPH,18–24
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,18–24
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,SUV,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,25–34
No_Injury,Wet,Traffic Signals,Yes,Four Lanes,Straight,Obscured,Not in Workzone,Pick-Up,No Test Given,Other_Right Turn Lane(s) Only,Distracted,Angled Impact,Other_Major Collector/Interstate,Municipal,"No, Crash Was Not Intersection Related",Daylight,Obscured,31–45 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Angled Impact,Other_Major Collector/Interstate,Other_County/Interstate/Federal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,State,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,31–45 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Other_Mini-van/Cargo Van,No Test Given,Other_Right Turn Lane(s) Only,Not Distracted,Angled Impact,Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,31–45 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,46–60 MPH,25–34
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Distracted,Angled Impact,Minor Arterial,Municipal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,31–45 MPH,18–24
No_Injury,Dry,Other_(Stop Sign/Flashing),Not Applicable - No Traffic Control,Two Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Other_Right Turn Lane(s) Only,Distracted,Angled Impact,Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Twilight,Not Obscured,31–45 MPH,25–34
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"No, Crash Was Not Intersection Related",Darkness,Not Obscured,31–45 MPH,18–24
Injury,Dry,Traffic Signals,Yes,Two Lanes,Straight,Not Obscured,Not in Workzone,SUV,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,0–30 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Left,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Angled Impact,Minor Arterial,Other_County/Interstate/Federal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,18–24
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Others_(Right/Slowing/Stopping),Not Obscured,Not in Workzone,Pick-Up,No Test Given,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Two Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Minor Arterial,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,0–30 MPH,45–64
Injury,Dry,Traffic Signals,Yes,Other,Straight,Obscured,Not in Workzone,SUV,No Test Given,Other_Right Turn Lane(s) Only,Not Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Other_Right Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Minor Arterial,State,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,46–60 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Pick-Up,Not Applicable,Both Left and Right Turn Lanes,Distracted,Angled Impact,Other_Major Collector/Interstate,Municipal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,0–30 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Left,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,46–60 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Distracted,Angled Impact,Minor Arterial,State,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,46–60 MPH,45–64
No_Injury,Dry,Other_(Stop Sign/Flashing),Not Applicable - No Traffic Control,Other,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Angled Impact,Other_Major Collector/Interstate,Municipal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Two Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Minor Arterial,Other_County/Interstate/Federal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Other_Mini-van/Cargo Van,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Twilight,Not Obscured,31–45 MPH,18–24
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,0–30 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,SUV,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"No, Crash Was Not Intersection Related",Darkness,Not Obscured,31–45 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Other,Left,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Not Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,46–60 MPH,25–34
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,31–45 MPH,18–24
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,SUV,No Test Given,Left Turn Lane(s) Only,Distracted,Angled Impact,Other_Major Collector/Interstate,Other_County/Interstate/Federal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,0–30 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Minor Arterial,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,18–24
No_Injury,Wet,Traffic Signals,Yes,Other,Straight,Not Obscured,Workzone Related,Passenger Car,Not Applicable,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Minor Arterial,Other_County/Interstate/Federal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
Injury,Wet,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Other_Mini-van/Cargo Van,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,35–44
Injury,Dry,Traffic Signals,Yes,Two Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Minor Arterial,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
No_Injury,Wet,Traffic Signals,Yes,Other,Left,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Other_(Head/Rear End),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,31–45 MPH,18–24
Injury,Wet,Traffic Signals,Yes,Two Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,Unknown,Other_Right Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,46–60 MPH,45–64
Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,SUV,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Not Distracted,Angled Impact,Minor Arterial,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,45–64
Injury,Wet,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,SUV,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Darkness,Not Obscured,31–45 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Pick-Up,Not Applicable,Left Turn Lane(s) Only,Distracted,Angled Impact,Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,65+
No_Injury,Dry,Traffic Signals,Yes,Other,Others_(Right/Slowing/Stopping),Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,31–45 MPH,18–24
Injury,Wet,Other_(Stop Sign/Flashing),No,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,35–44
No_Injury,Wet,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Other_Mini-van/Cargo Van,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Two Lanes,Straight,Obscured,Not in Workzone,SUV,No Test Given,Both Left and Right Turn Lanes,Distracted,Angled Impact,Principal Arterial - Other,State,"No, Crash Was Not Intersection Related",Daylight,Obscured,31–45 MPH,45–64
No_Injury,Wet,Traffic Signals,Yes,Other,Straight,Not Obscured,Workzone Related,Pick-Up,Not Applicable,Other_Right Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Angled Impact,Other_Major Collector/Interstate,Municipal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,0–30 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Other,Left,Not Obscured,Not in Workzone,SUV,No Test Given,Left Turn Lane(s) Only,Not Distracted,Side Impact (90 degrees),Principal Arterial - Other,State,"No, Crash Was Not Intersection Related",Darkness,Not Obscured,46–60 MPH,45–64
No_Injury,Dry,Traffic Signals,Yes,Two Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Both Left and Right Turn Lanes,Distracted,Side Impact (90 degrees),Minor Arterial,Municipal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,0–30 MPH,25–34
No_Injury,Dry,Traffic Signals,Yes,Four Lanes,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Left Turn Lane(s) Only,Distracted,Angled Impact,Principal Arterial - Other,State,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,46–60 MPH,0–17
No_Injury,Dry,Traffic Signals,Yes,Two Lanes,Straight,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Distracted,Side Impact (90 degrees),Other_Major Collector/Interstate,Municipal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,0–30 MPH,35–44
No_Injury,Dry,Traffic Signals,Yes,Other,Straight,Not Obscured,Not in Workzone,Pick-Up,No Test Given,Both Left and Right Turn Lanes,Not Distracted,Angled Impact,Other_Major Collector/Interstate,Municipal,"No, Crash Was Not Intersection Related",Daylight,Not Obscured,31–45 MPH,45–64
No_Injury,Wet,Traffic Signals,Yes,Four Lanes,Left,Not Obscured,Not in Workzone,Passenger Car,No Test Given,Left Turn Lane(s) Only,Not Distracted,Angled Impact,Principal Arterial - Other,Other_County/Interstate/Federal,"Yes, Crash Was Intersection Related",Daylight,Not Obscured,31–45 MPH,18–24
